title,authors,link,subject,doi,submission_v1,submission_most_recent,pdf_link,primary_subject
          Period-Luminosity Relationship for δ Scuti Stars Revisited,"['Atila Poro', 'S. Javad Jafarzadeh', 'Roghaye Harzandjadidi', 'Mohammad Madani', 'Elnaz Bozorgzadeh', 'Esfandiar Jahangiri', 'Ahmad Sarostad', 'Ailar Alizadehsabegh', 'Maryam Hadizadeh', 'Mohammad EsmaeiliVakilabadi']",https://arxiv.org/abs/2401.01091,Solar and Stellar Astrophysics (astro-ph.SR); Astrophysics of Galaxies (astro-ph.GA),,2024-01-02 08:22:52+00:00,2024-01-03 23:20:07+00:00,https://arxiv.org/pdf/2401.01091,Solar and Stellar Astrophysics (astro-ph.SR)
          Decayless oscillations in 3D coronal loops excited by a power-law driver,"['Konstantinos Karampelas', 'Tom Van Doorsselaere']",https://arxiv.org/abs/2401.01095,Solar and Stellar Astrophysics (astro-ph.SR),https://doi.org/10.1051/0004-6361/202348144,2024-01-02 08:31:28+00:00,,https://arxiv.org/pdf/2401.01095,Solar and Stellar Astrophysics (astro-ph.SR)
          AI-FLARES: Artificial Intelligence for the Analysis of Solar Flares Data,"['Michele Piana', 'Federico Benvenuto', 'Anna Maria Massone', 'Cristina Campi', 'Sabrina Guastavino', 'Francesco Marchetti', 'Paolo Massa', 'Emma Perracchione', 'Anna Volpara']",https://arxiv.org/abs/2401.01104,Solar and Stellar Astrophysics (astro-ph.SR); Artificial Intelligence (cs.AI),,2024-01-02 08:56:01+00:00,,https://arxiv.org/pdf/2401.01104,Solar and Stellar Astrophysics (astro-ph.SR)
"          Extinction, the elephant in the room that hinders optical Galactic observations",['Jesús Maíz Apellániz'],https://arxiv.org/abs/2401.01116,Astrophysics of Galaxies (astro-ph.GA); Solar and Stellar Astrophysics (astro-ph.SR),,2024-01-02 09:11:18+00:00,,https://arxiv.org/pdf/2401.01116,Astrophysics of Galaxies (astro-ph.GA)
          Temperature-reducing shocks in optically-thin radiative MHD -- analytical and numerical results,['Ben Snow'],https://arxiv.org/abs/2401.01122,Solar and Stellar Astrophysics (astro-ph.SR); Astrophysics of Galaxies (astro-ph.GA); High Energy Astrophysical Phenomena (astro-ph.HE); Mathematical Physics (math-ph); Plasma Physics (physics.plasm-ph); Space Physics (physics.space-ph),,2024-01-02 09:37:46+00:00,,https://arxiv.org/pdf/2401.01122,Solar and Stellar Astrophysics (astro-ph.SR)
          TOPCAT Corner Plot,['Mark Taylor'],https://arxiv.org/abs/2401.01156,Instrumentation and Methods for Astrophysics (astro-ph.IM),,2024-01-02 11:16:33+00:00,,https://arxiv.org/pdf/2401.01156,Instrumentation and Methods for Astrophysics (astro-ph.IM)
          A comparative study of resistivity models for simulations of magnetic reconnection in the solar atmosphere. II. Plasmoid formation,"['Øystein Håvard Færder', 'Daniel Nóbrega-Siverio', 'Mats Carlsson']",https://arxiv.org/abs/2401.01177,Solar and Stellar Astrophysics (astro-ph.SR),https://doi.org/10.1051/0004-6361/202348046,2024-01-02 12:10:57+00:00,,https://arxiv.org/pdf/2401.01177,Solar and Stellar Astrophysics (astro-ph.SR)
          A high resolution rovibronic molecular cross-section of MgH+ molecular cation,"['Huagang Xiao', 'Tao Gao']",https://arxiv.org/abs/2401.01184,Solar and Stellar Astrophysics (astro-ph.SR); Earth and Planetary Astrophysics (astro-ph.EP); Atomic Physics (physics.atom-ph); Chemical Physics (physics.chem-ph),,2024-01-02 12:26:23+00:00,,https://arxiv.org/pdf/2401.01184,Solar and Stellar Astrophysics (astro-ph.SR)
          Linking tracklets over the years in large datasets,"['Óscar Rodríguez', 'Giovanni F. Gronchi', 'Giulio Baù', 'Robert Jedicke']",https://arxiv.org/abs/2401.01202,Instrumentation and Methods for Astrophysics (astro-ph.IM),,2024-01-02 13:05:28+00:00,,https://arxiv.org/pdf/2401.01202,Instrumentation and Methods for Astrophysics (astro-ph.IM)
          Numerical behavior of the Keplerian Integral methods for initial orbit determination,"['Óscar Rodríguez', 'Giovanni F. Gronchi', 'Giulio Baù', 'Robert Jedicke']",https://arxiv.org/abs/2401.01210,Earth and Planetary Astrophysics (astro-ph.EP); Instrumentation and Methods for Astrophysics (astro-ph.IM),,2024-01-02 13:40:46+00:00,,https://arxiv.org/pdf/2401.01210,Earth and Planetary Astrophysics (astro-ph.EP)
          PDRs4All. V. Modelling the dust evolution across the illuminated edge of the Orion Bar,"['M. Elyajouri', 'N. Ysard', 'A. Abergel', 'E. Habart', 'L. Verstraete', 'A. Jones', 'M. Juvela', 'T. Schirmer', 'R. Meshaka', 'E. Dartois', 'J. Lebourlot', 'G. Rouille', 'T. Onaka', 'E. Peeters', 'O. Berne', 'F. Alarcon', 'J. Bernard-Salas', 'M. Buragohain', 'J. Cami', 'A. Canin', 'R. Chown', 'K. Demyk', 'K. Gordon', 'O. Kannavou', 'M. Kirsanova', 'S. Madden', 'R. Paladini', 'Y. Pendleton', 'F. Salama', 'I. Schroetter', 'A. Sidhu', 'M. Rollig', 'B. Trahin', 'D. Van De Putte']",https://arxiv.org/abs/2401.01221,Astrophysics of Galaxies (astro-ph.GA),https://doi.org/10.1051/0004-6361/202348728,2024-01-02 14:20:29+00:00,,https://arxiv.org/pdf/2401.01221,Astrophysics of Galaxies (astro-ph.GA)
          Blind source separation for decomposing X-ray pulsar profiles. Introducing phase-correlated variability analysis (PCVA) with a case study of Cen X-3,"['Inga Saathoff', 'Victor Doroshenko', 'Andrea Santangelo']",https://arxiv.org/abs/2401.01226,High Energy Astrophysical Phenomena (astro-ph.HE); Instrumentation and Methods for Astrophysics (astro-ph.IM),,2024-01-02 14:34:16+00:00,,https://arxiv.org/pdf/2401.01226,High Energy Astrophysical Phenomena (astro-ph.HE)
          New Horizons Venetia Burney Student Dust Counter Observes Higher than Expected Fluxes Approaching 60 AU,"['Alex Doner', 'Mihaly Horanyi', 'Fran Bagenal', 'Pontus Brandt', 'Will Grundy', 'Carey Lisse', 'Joel Parker', 'Andrew R. Poppe', 'Kelsi N. Singer', 'S. Alan Stern', 'Anne Verbiscer']",https://arxiv.org/abs/2401.01230,Earth and Planetary Astrophysics (astro-ph.EP); Space Physics (physics.space-ph),https://doi.org/10.3847/2041328213/ad18b0,2024-01-02 14:54:32+00:00,,https://arxiv.org/pdf/2401.01230,Earth and Planetary Astrophysics (astro-ph.EP)
          Optically-thick Structure in Early B Type Supergiant Stellar Winds at Low Metallicities,"['Timothy N. Parsons', 'Raman K. Prinja', 'Matheus Bernini-Peron', 'Alex W. Fullerton', 'Derck L. Massa', 'Lidia M. Oskinova', 'Daniel Pauli', 'Andreas A.C. Sander', 'Matthew J. Rickard']",https://arxiv.org/abs/2401.01240,Solar and Stellar Astrophysics (astro-ph.SR); Astrophysics of Galaxies (astro-ph.GA),https://doi.org/10.1093/mnras/stad3966,2024-01-02 15:17:35+00:00,,https://arxiv.org/pdf/2401.01240,Solar and Stellar Astrophysics (astro-ph.SR)
          Pruning: a tool to optimize the layout of large scale arrays for ultra-high-energy air-shower detection,"['Benoit-Lévy', 'K. Kotera', 'M. Tueros']",https://arxiv.org/abs/2401.01267,Instrumentation and Methods for Astrophysics (astro-ph.IM),,2024-01-02 16:13:29+00:00,,https://arxiv.org/pdf/2401.01267,Instrumentation and Methods for Astrophysics (astro-ph.IM)
          Discovery of a circularly symmetric extended diffuse radio emission around an elliptical galaxy with the VLA FIRST survey,"['Shobha Kumari', 'Sabyasachi Pal']",https://arxiv.org/abs/2401.01278,Astrophysics of Galaxies (astro-ph.GA),https://doi.org/10.1093/mnras/stad3953,2023-12-21 09:43:59+00:00,2025-06-18 12:11:45+00:00,https://arxiv.org/pdf/2401.01278,Astrophysics of Galaxies (astro-ph.GA)
          On the evolution of a twisted thin accretion disc in eccentric inclined supermassive binary black holes,"['P. B. Ivanov', 'V. V. Zhuravlev']",https://arxiv.org/abs/2401.01317,Astrophysics of Galaxies (astro-ph.GA); Cosmology and Nongalactic Astrophysics (astro-ph.CO); General Relativity and Quantum Cosmology (gr-qc),,2024-01-02 18:07:42+00:00,,https://arxiv.org/pdf/2401.01317,Astrophysics of Galaxies (astro-ph.GA)
          Changing CO Bands in Near-IR Spectra of CP Cephei,"['Scott G. Call', 'Eric G. Hintz', 'Steve Ardern', 'Victoria Scowcroft', 'Timothy D. Morrell']",https://arxiv.org/abs/2401.01318,Solar and Stellar Astrophysics (astro-ph.SR),https://doi.org/10.1093/mnras/stae2224,2024-01-02 18:09:48+00:00,2024-09-30 17:15:42+00:00,https://arxiv.org/pdf/2401.01318,Solar and Stellar Astrophysics (astro-ph.SR)
"          Neutron Stars in modified f(R,T) gravity framework with \mathcal{O}(T, T^2) terms","['Premachand Mahapatra', 'Prasanta Kumar Das']",https://arxiv.org/abs/2401.01321,Cosmology and Nongalactic Astrophysics (astro-ph.CO),,2024-01-02 18:20:43+00:00,,https://arxiv.org/pdf/2401.01321,Cosmology and Nongalactic Astrophysics (astro-ph.CO)
          Metastability of stratified magnetohydrostatic equilibria and their relaxation,"['David N. Hosking', 'David Wasserman', 'Steven C. Cowley']",https://arxiv.org/abs/2401.01336,High Energy Astrophysical Phenomena (astro-ph.HE); Fluid Dynamics (physics.flu-dyn); Plasma Physics (physics.plasm-ph),,2024-01-02 18:56:12+00:00,2024-12-09 16:44:50+00:00,https://arxiv.org/pdf/2401.01336,High Energy Astrophysical Phenomena (astro-ph.HE)
"          Collisionless Magnetorotational Turbulence in Pair Plasmas: Steady-state Dynamics, Particle Acceleration, and Radiative Cooling","['Fabio Bacchini', 'Vladimir Zhdankin', 'Evgeny A. Gorbunov', 'Gregory R. Werner', 'Lev Arzamasskiy', 'Mitchell C. Begelman', 'Dmitri A. Uzdensky']",https://arxiv.org/abs/2401.01399,High Energy Astrophysical Phenomena (astro-ph.HE); Plasma Physics (physics.plasm-ph),,2024-01-02 19:00:00+00:00,2024-06-14 15:34:35+00:00,https://arxiv.org/pdf/2401.01399,High Energy Astrophysical Phenomena (astro-ph.HE)
"          GJ 367b is a dark, hot, airless sub-Earth","['Michael Zhang', 'Renyu Hu', 'Julie Inglis', 'Fei Dai', 'Jacob L. Bean', 'Heather A. Knutson', 'Kristine Lam', 'Elisa Goffo', 'Davide Gandolfi']",https://arxiv.org/abs/2401.01400,Earth and Planetary Astrophysics (astro-ph.EP),https://doi.org/10.3847/2041-8213/ad1a07,2024-01-02 19:00:00+00:00,2024-01-31 19:25:39+00:00,https://arxiv.org/pdf/2401.01400,Earth and Planetary Astrophysics (astro-ph.EP)
          A New Population of Mid-Infrared-Selected Tidal Disruption Events: Implications for Tidal Disruption Event Rates and Host Galaxy Properties,"['Megan Masterson', 'Kishalay De', 'Christos Panagiotou', 'Erin Kara', 'Iair Arcavi', 'Anna-Christina Eilers', 'Danielle Frostig', 'Suvi Gezari', 'Iuliia Grotova', 'Zhu Liu', 'Adam Malyali', 'Aaron M. Meisner', 'Andrea Merloni', 'Megan Newsome', 'Arne Rau', 'Robert A. Simcoe', 'Sjoert van Velzen']",https://arxiv.org/abs/2401.01403,High Energy Astrophysical Phenomena (astro-ph.HE); Astrophysics of Galaxies (astro-ph.GA),,2024-01-02 19:00:02+00:00,,https://arxiv.org/pdf/2401.01403,High Energy Astrophysical Phenomena (astro-ph.HE)
          Probing a Magnetar Origin for the population of Extragalactic Fast X-ray Transients detected by Chandra,"['J. Quirola-Vásquez', 'F. E. Bauer', 'P. G. Jonker', 'W. N. Brandt', 'D. Eappachen', 'A. J. Levan', 'E. Lopez', 'B. Luo', 'M. E. Ravasio', 'H. Sun', 'Y. Q. Xue', 'G. Yang', 'X. C. Zheng']",https://arxiv.org/abs/2401.01415,High Energy Astrophysical Phenomena (astro-ph.HE),,2024-01-02 19:53:15+00:00,,https://arxiv.org/pdf/2401.01415,High Energy Astrophysical Phenomena (astro-ph.HE)
          Stability of 20 Biogenic Amino Acids in Concentrated Sulfuric Acid: Implications for the Habitability of Venus' Clouds,"['Maxwell D. Seager', 'Sara Seager', 'William Bains', 'Janusz J. Petkowski']",https://arxiv.org/abs/2401.01441,Earth and Planetary Astrophysics (astro-ph.EP); Chemical Physics (physics.chem-ph),https://doi.org/10.1089/ast.2023.0082,2024-01-02 21:40:06+00:00,2024-01-05 16:30:41+00:00,https://arxiv.org/pdf/2401.01441,Earth and Planetary Astrophysics (astro-ph.EP)
          Development Of Raspberry Pi-based Processing Unit for UV Photon-Counting Detectors,"['Bharat Chandra P', 'Binukumar G.', 'Shubham Janakiram', 'Mahesh Babu', 'Shubhangi Jain', 'Richa Rai', 'Rekhesh Mohan', 'Margarita Safonova', 'Jayant Murthy']",https://arxiv.org/abs/2401.01443,Instrumentation and Methods for Astrophysics (astro-ph.IM),https://doi.org/10.1142/S2251171724500053,2024-01-02 21:47:23+00:00,2024-01-05 07:38:44+00:00,https://arxiv.org/pdf/2401.01443,Instrumentation and Methods for Astrophysics (astro-ph.IM)
          ALMA-LEGUS I: The Influence of Galaxy Morphology on Molecular Cloud Properties,"['Molly K. Finn', 'Kelsey E. Johnson', 'Remy Indebetouw', 'Allison H. Costa', 'Angela Adamo', 'Alessandra Aloisi', 'Lauren Bittle', 'Daniela Calzetti', 'Daniel A. Dale', 'Clare L. Dobbs', 'Jennifer Donovan Meyer', 'Bruce G. Elmegreen', 'Debra M. Elmegreen', 'Michele Fumagalli', 'J. S. Gallagher', 'Kathryn Grasha', 'Eva K. Grebel', 'Robert C. Kennicutt', 'Mark R. Krumholz', 'Janice C. Lee', 'Matteo Messa', 'Preethi Nair', 'Elena Sabbi', 'Linda J. Smith', 'David A. Thilker', 'Bradley C. Whitmore', 'Aida Wofford']",https://arxiv.org/abs/2401.01450,Astrophysics of Galaxies (astro-ph.GA),,2024-01-02 22:25:11+00:00,,https://arxiv.org/pdf/2401.01450,Astrophysics of Galaxies (astro-ph.GA)
          ALMA-LEGUS II: The Influence of Sub-Galactic Environment on Molecular Cloud Properties,"['Molly K. Finn', 'Kelsey E. Johnson', 'Remy Indebetouw', 'Allison H. Costa', 'Angela Adamo', 'Alessandra Aloisi', 'Lauren Bittle', 'Daniela Calzetti', 'Daniel A. Dale', 'Clare L. Dobbs', 'Jennifer Donovan Meyer', 'Bruce G. Elmegreen', 'Debra M. Elmegreen', 'Michele Fumagalli', 'J. S. Gallagher', 'Kathryn Grasha', 'Eva K. Grebel', 'Robert C. Kennicutt', 'Mark R. Krumholz', 'Janice C. Lee', 'Matteo Messa', 'Preethi Nair', 'Elena Sabbi', 'Linda J. Smith', 'David A. Thilker', 'Bradley C. Whitmore', 'Aida Wofford']",https://arxiv.org/abs/2401.01451,Astrophysics of Galaxies (astro-ph.GA),,2024-01-02 22:25:19+00:00,,https://arxiv.org/pdf/2401.01451,Astrophysics of Galaxies (astro-ph.GA)
          Euclid preparation: XLVIII. The pre-launch Science Ground Segment simulation framework,"['Euclid Collaboration', 'S. Serrano', 'P. Hudelot', 'G. Seidel', 'J. E. Pollack', 'E. Jullo', 'F. Torradeflot', 'D. Benielli', 'R. Fahed', 'T. Auphan', 'J. Carretero', 'H. Aussel', 'P. Casenove', 'F. J. Castander', 'J. E. Davies', 'N. Fourmanoit', 'S. Huot', 'A. Kara', 'E. Keihänen', 'S. Kermiche', 'K. Okumura', 'J. Zoubian', 'A. Ealet', 'A. Boucaud', 'H. Bretonnière', 'R. Casas', 'B. Clément', 'C. A. J. Duncan', 'K. George', 'K. Kiiveri', 'H. Kurki-Suonio', 'M. Kümmel', 'D. Laugier', 'G. Mainetti', 'J. J. Mohr', 'A. Montoro', 'C. Neissner', 'C. Rosset', 'M. Schirmer', 'P. Tallada-Crespí', 'N. Tonello', 'A. Venhola', 'A. Verderi', 'A. Zacchei', 'N. Aghanim', 'B. Altieri', 'A. Amara', 'S. Andreon', 'N. Auricchio', 'R. Azzollini', 'C. Baccigalupi', 'M. Baldi', 'S. Bardelli', 'A. Basset', 'P. Battaglia', 'F. Bernardeau', 'C. Bodendorf', 'D. Bonino', 'E. Branchini', 'M. Brescia', 'J. Brinchmann', 'S. Camera', 'G. P. Candini', 'V. Capobianco', 'C. Carbone', 'S. Casas', 'M. Castellano', 'G. Castignani', 'S. Cavuoti', 'A. Cimatti', 'R. Cledassou', 'C. Colodro-Conde', 'G. Congedo', 'C. J. Conselice', 'L. Conversi', 'Y. Copin', 'L. Corcione', 'F. Courbin', 'H. M. Courtois', 'M. Crocce', 'M. Cropper', 'A. Da Silva', 'H. Degaudenzi', 'G. De Lucia', 'A. M. Di Giorgio', 'J. Dinis', 'F. Dubath', 'X. Dupac', 'S. Dusini', 'M. Farina', 'S. Farrens', 'S. Ferriol', 'M. Frailis', 'E. Franceschi', 'P. Franzetti', 'S. Galeotta', 'B. Garilli', 'W. Gillard', 'B. Gillis', 'C. Giocoli']",https://arxiv.org/abs/2401.01452,Cosmology and Nongalactic Astrophysics (astro-ph.CO); Instrumentation and Methods for Astrophysics (astro-ph.IM),https://doi.org/10.1051/0004-6361/202349128,2024-01-02 22:25:37+00:00,2024-10-09 10:58:51+00:00,https://arxiv.org/pdf/2401.01452,Cosmology and Nongalactic Astrophysics (astro-ph.CO)
          Is the atmosphere of the ultra-hot Jupiter WASP-121b variable?,"['Quentin Changeat', 'Jack W. Skinner', 'James Y-K. Cho', 'Joonas Nättilä', 'Ingo P. Waldmann', 'Ahmed F. Al-Refaie', 'Achrène Dyrek', 'Billy Edwards', 'Thomas Mikal-Evans', 'Max Joshua', 'Giuseppe Morello', 'Nour Skaf', 'Angelos Tsiaras', 'Olivia Venot', 'Kai Hou Yip']",https://arxiv.org/abs/2401.01465,Earth and Planetary Astrophysics (astro-ph.EP),https://doi.org/10.3847/1538-4365/ad1191,2024-01-02 23:56:44+00:00,,https://arxiv.org/pdf/2401.01465,Earth and Planetary Astrophysics (astro-ph.EP)
          Measuring the Stellar and Planetary Properties of the 51 Eridani System,"['Ashley Elliott', 'Tabetha Boyajian', 'Tyler Ellis', 'Kaspar von Braun', 'Andrew W. Mann', 'Gail Schaefer']",https://arxiv.org/abs/2401.01468,Earth and Planetary Astrophysics (astro-ph.EP),https://doi.org/10.1017/pasa.2024.40,2024-01-03 00:06:17+00:00,2024-05-28 20:31:17+00:00,https://arxiv.org/pdf/2401.01468,Earth and Planetary Astrophysics (astro-ph.EP)
          The First TESS Self-Lensing Pulses: Revisiting KIC 12254688,"['Nicholas M. Sorabella', 'Silas G.T. Laycock', 'Dimitris M. Christodoulou', 'Sayantan Bhattacharya']",https://arxiv.org/abs/2401.01477,Solar and Stellar Astrophysics (astro-ph.SR); Instrumentation and Methods for Astrophysics (astro-ph.IM),,2024-01-03 00:39:57+00:00,2024-01-16 03:35:18+00:00,https://arxiv.org/pdf/2401.01477,Solar and Stellar Astrophysics (astro-ph.SR)
          Formation of PSR J1012+5307 with an extremely low-mass white dwarf: testing magnetic braking models,"['Na Wei', 'Kun Xu', 'Zhi-Fu Gao', 'Long Jiang', 'Wen-Cong Chen']",https://arxiv.org/abs/2401.01488,Solar and Stellar Astrophysics (astro-ph.SR); High Energy Astrophysical Phenomena (astro-ph.HE),,2024-01-03 01:23:09+00:00,,https://arxiv.org/pdf/2401.01488,Solar and Stellar Astrophysics (astro-ph.SR)
          RMS-flux slope in MAXI J1820+070: a measure of the disk-corona coupling,"['Yanan Wang', 'Shuang-Nan Zhang']",https://arxiv.org/abs/2401.01515,High Energy Astrophysical Phenomena (astro-ph.HE),,2024-01-03 02:45:35+00:00,,https://arxiv.org/pdf/2401.01515,High Energy Astrophysical Phenomena (astro-ph.HE)
          The rotation curve and mass distribution of M31,"['Xiangwei Zhang', 'Bingqiu Chen', 'Pinjian Chen', 'Jiarui Sun', 'Zhijia Tian']",https://arxiv.org/abs/2401.01517,Astrophysics of Galaxies (astro-ph.GA),,2024-01-03 02:56:38+00:00,,https://arxiv.org/pdf/2401.01517,Astrophysics of Galaxies (astro-ph.GA)
          Observations favor the redshift-evolutionary L_X-L_{UV} relation of quasars from copula,"['Bao Wang', 'Yang Liu', 'Hongwei Yu', 'Puxun Wu']",https://arxiv.org/abs/2401.01540,Cosmology and Nongalactic Astrophysics (astro-ph.CO); General Relativity and Quantum Cosmology (gr-qc),,2024-01-03 04:47:47+00:00,,https://arxiv.org/pdf/2401.01540,Cosmology and Nongalactic Astrophysics (astro-ph.CO)
          Starlink Mini Satellite Brightness Distributions Across the Sky,"['Anthony Mallama', 'Richard E. Cole', 'Jay Respler', 'Cees Bassa', 'Scott Harrington', 'Aaron Worley']",https://arxiv.org/abs/2401.01546,Instrumentation and Methods for Astrophysics (astro-ph.IM),,2024-01-03 05:47:54+00:00,,https://arxiv.org/pdf/2401.01546,Instrumentation and Methods for Astrophysics (astro-ph.IM)
          Multiscale Dynamical Scenario of High-mass Star Formation in an IRDC Filament G34,"['Sirong Pan', 'Hong-Li Liu', 'Sheng-Li Qin']",https://arxiv.org/abs/2401.01559,Astrophysics of Galaxies (astro-ph.GA),https://doi.org/10.3847/1538-4357/ad10ac,2024-01-03 06:22:07+00:00,,https://arxiv.org/pdf/2401.01559,Astrophysics of Galaxies (astro-ph.GA)
          Testing an exact diffraction formula with gravitational wave source lensed by a supermassive black hole in binary systems,"['Xiao Guo', 'Zhoujian Cao']",https://arxiv.org/abs/2401.01581,High Energy Astrophysical Phenomena (astro-ph.HE); Solar and Stellar Astrophysics (astro-ph.SR); General Relativity and Quantum Cosmology (gr-qc),,2024-01-03 07:18:12+00:00,2024-04-15 06:05:28+00:00,https://arxiv.org/pdf/2401.01581,High Energy Astrophysical Phenomena (astro-ph.HE)
          Solar Energetic Particle Charge States and Abundances with Nonthermal Electrons,"['Jin-Yi Lee', 'Stephen Kahler', 'John C. Raymond', 'Yuan-Kuen Ko']",https://arxiv.org/abs/2401.01604,Solar and Stellar Astrophysics (astro-ph.SR); High Energy Astrophysical Phenomena (astro-ph.HE); Space Physics (physics.space-ph),https://doi.org/10.3847/1538-4357/ad1ab6,2024-01-03 08:14:51+00:00,2024-03-10 06:17:33+00:00,https://arxiv.org/pdf/2401.01604,Solar and Stellar Astrophysics (astro-ph.SR)
          Explaining supernova remnant G352.7-0.1 as a peculiar type Ia supernova inside a planetary nebula,['Noam Soker'],https://arxiv.org/abs/2401.01707,High Energy Astrophysical Phenomena (astro-ph.HE),https://doi.org/10.1016/j.newast.2024.102213,2024-01-03 12:19:28+00:00,2024-02-27 05:10:06+00:00,https://arxiv.org/pdf/2401.01707,High Energy Astrophysical Phenomena (astro-ph.HE)
          Necessary conditions for the formation of filaments and star clusters in the cold neutral medium,"['Rachel Pillsworth', 'Ralph E. Pudritz']",https://arxiv.org/abs/2401.01737,Astrophysics of Galaxies (astro-ph.GA),https://doi.org/10.1093/mnras/stae002,2024-01-03 13:29:46+00:00,,https://arxiv.org/pdf/2401.01737,Astrophysics of Galaxies (astro-ph.GA)
          Indication for a compact object next to a LIGO-Virgo binary black hole merger,"['Shu-Cheng Yang', 'Wen-Biao Han', 'Hiromichi Tagawa', 'Song Li', 'Chen Zhang']",https://arxiv.org/abs/2401.01743,High Energy Astrophysical Phenomena (astro-ph.HE); General Relativity and Quantum Cosmology (gr-qc),https://doi.org/10.3847/2041-8213/adeaad,2024-01-03 13:39:58+00:00,2025-08-03 06:01:54+00:00,https://arxiv.org/pdf/2401.01743,High Energy Astrophysical Phenomena (astro-ph.HE)
          Constraints on Axion-like Particles from the Observation of Galactic Sources by LHAASO,"['Jun Li', 'Xiao-Jun Bi', 'Lin-Qing Gao', 'Xiaoyuan Huang', 'Run-Min Yao', 'Peng-Fei Yin']",https://arxiv.org/abs/2401.01829,High Energy Astrophysical Phenomena (astro-ph.HE); High Energy Physics - Experiment (hep-ex),,2024-01-03 16:45:14+00:00,,https://arxiv.org/pdf/2401.01829,High Energy Astrophysical Phenomena (astro-ph.HE)
          Tracing the layers of Photodissociated gas in Trifid Nebula,"['Bhaswati Mookerjea', 'Goeran Sandell']",https://arxiv.org/abs/2401.01837,Astrophysics of Galaxies (astro-ph.GA),,2024-01-03 17:06:36+00:00,,https://arxiv.org/pdf/2401.01837,Astrophysics of Galaxies (astro-ph.GA)
          An Angular Diameter Measurement of β UMa via Stellar Intensity Interferometry with the VERITAS Observatory,"['A. Acharyya', 'J. P. Aufdenberg', 'P. Bangale', 'J. T. Bartkoske', 'P. Batista', 'W. Benbow', 'A. J. Chromey', 'J. D. Davis', 'Q. Feng', 'G. M. Foote', 'A. Furniss', 'W. Hanlon', 'C. E. Hinrichs', 'J. Holder', 'W. Jin', 'P. Kaaret', 'M. Kertzman', 'D. Kieda', 'T. K. Kleiner', 'N. Korzoun', 'T. LeBohec', 'M. A. Lisa', 'M. Lundy', 'N. Matthews', 'C. E McGrath', 'M. J. Millard', 'P. Moriarty', 'S. Nikkhah', ""S. O'Brien"", 'R. A. Ong', 'M. Pohl', 'E. Pueschel', 'J. Quinn', 'P. L. Rabinowitz', 'K. Ragan', 'E. Roache', 'J. G. Rose', 'J. L. Sackrider', 'I. Sadeh', 'L. Saha', 'G. H. Sembroski', 'R. Shang', 'D. Tak', 'M. Ticoras', 'J. V. Tucci', 'S. L. Wong', 'VERITAS Collaboration']",https://arxiv.org/abs/2401.01853,Solar and Stellar Astrophysics (astro-ph.SR); Instrumentation and Methods for Astrophysics (astro-ph.IM),,2024-01-03 17:47:43+00:00,,https://arxiv.org/pdf/2401.01853,Solar and Stellar Astrophysics (astro-ph.SR)
          Constraining inflationary magnetogenesis and reheating via GWs in light of PTA data,"['Subhasis Maiti', 'Debaprasad Maity', 'L. Sriramkumar']",https://arxiv.org/abs/2401.01864,Cosmology and Nongalactic Astrophysics (astro-ph.CO); High Energy Physics - Phenomenology (hep-ph); High Energy Physics - Theory (hep-th),,2024-01-03 18:15:55+00:00,2025-05-02 14:54:36+00:00,https://arxiv.org/pdf/2401.01864,Cosmology and Nongalactic Astrophysics (astro-ph.CO)
